service_id,date,exception_type
38,20180507,2
38,20180508,2
38,20180509,2
38,20180511,2
38,20180514,2
38,20180516,2
38,20180518,2
38,20180521,2
38,20180523,2
38,20180525,2
38,20180528,2
38,20180530,2
39,20180409,2
39,20180410,2
39,20180411,2
39,20180412,2
39,20180416,2
39,20180417,2
39,20180418,2
39,20180419,2
39,20180423,2
39,20180424,2
39,20180425,2
39,20180426,2
39,20180430,2
39,20180501,2
39,20180502,2
39,20180503,2
39,20180507,2
39,20180508,2
39,20180509,2
39,20180510,2
39,20180514,2
39,20180515,2
39,20180516,2
39,20180517,2
39,20180521,2
39,20180522,2
39,20180523,2
39,20180524,2
40,20180409,2
40,20180410,2
40,20180411,2
40,20180412,2
40,20180416,2
40,20180417,2
40,20180418,2
40,20180419,2
40,20180423,2
40,20180424,2
40,20180425,2
40,20180426,2
40,20180501,2
40,20180502,2
40,20180503,2
40,20180508,2
40,20180509,2
40,20180510,2
40,20180514,2
40,20180515,2
40,20180516,2
40,20180517,2
40,20180521,2
40,20180522,2
40,20180523,2
40,20180524,2
41,20180410,2
41,20180411,2
41,20180412,2
41,20180417,2
41,20180418,2
41,20180419,2
41,20180424,2
41,20180425,2
41,20180426,2
41,20180501,2
41,20180502,2
41,20180503,2
41,20180508,2
41,20180509,2
41,20180510,2
41,20180515,2
41,20180516,2
41,20180517,2
41,20180522,2
41,20180523,2
41,20180524,2
43,20180409,2
43,20180410,2
43,20180411,2
43,20180412,2
43,20180416,2
43,20180417,2
43,20180418,2
43,20180419,2
43,20180423,2
43,20180424,2
43,20180425,2
43,20180426,2
44,20180410,2
44,20180411,2
44,20180412,2
44,20180417,2
44,20180418,2
44,20180419,2
44,20180424,2
44,20180425,2
44,20180426,2
47,20180411,2
47,20180412,2
47,20180418,2
47,20180419,2
47,20180425,2
47,20180426,2
47,20180501,2
47,20180502,2
47,20180503,2
47,20180508,2
47,20180509,2
47,20180510,2
47,20180516,2
47,20180517,2
48,20180501,1
48,20180508,1
49,20180408,2
49,20180415,2
49,20180422,2
49,20180429,2
49,20180506,2
49,20180513,2
49,20180520,2
50,20180408,2
50,20180415,2
50,20180422,2
50,20180429,2
50,20180501,1
50,20180506,2
50,20180508,1
50,20180513,2
50,20180520,2
51,20180408,2
51,20180415,2
51,20180422,2
51,20180513,2
51,20180520,2
52,20180408,2
52,20180415,2
52,20180422,2
52,20180429,2
52,20180501,1
52,20180506,2
52,20180513,2
52,20180520,2
54,20180408,2
54,20180415,2
54,20180422,2
54,20180429,2
54,20180506,2
54,20180508,1
54,20180513,2
54,20180520,2
57,20180408,2
57,20180415,2
58,20180408,2
58,20180415,2
58,20180422,2
59,20180430,1
59,20180507,1
63,20180501,1
63,20180508,1
64,20180501,1
65,20180502,1
66,20180408,2
66,20180415,2
66,20180422,2
66,20180429,2
67,20180408,2
67,20180415,2
67,20180422,2
67,20180429,2
67,20180506,2
